	AveExpr	Coef	t	P.value	F	F.p.value
GSCOC_T00000206001	4.11196900035735	1.42439528357403	4.51007362962722	0.00152063701184025	20.3407641446588	0.00152063701184025
GSCOC_T00000224001	2.92406587986582	-1.64207923819775	-4.14873978198522	0.00256606458995384	17.2120417786267	0.00256606458995384
GSCOC_T00000226001	2.25844446594343	0.0742270814461601	0.106750955365373	0.917360844555579	0.0113957664714199	0.917360844555579
GSCOC_T00000230001	0.432262507290885	1.08502313297551	1.41037336802195	0.192505094481926	1.98915303722559	0.192505094481926
GSCOC_T00000261001	1.95369144403717	2.9675010252241	8.67765280749851	1.25880045629717e-05	75.3016582474868	1.25880045629717e-05
GSCOC_T00000264001	-1.50550112592543	5.93802976764557	11.0889409549366	1.69070656662957e-06	122.96461150207	1.69070656662957e-06
GSCOC_T00000270001	6.1329024581639	-3.77669850918742	-7.7093003360801	3.21599409283847e-05	59.4333116718847	3.21599409283847e-05
GSCOC_T00000276001	2.54291630919375	1.87711566650799	9.88189101775829	4.38448759597546e-06	97.6517700868521	4.38448759597547e-06
GSCOC_T00000281001	1.97957504130882	0.191770667318435	0.482231622950875	0.641312553084696	0.232547338173835	0.641312553084696
GSCOC_T00000289001	6.73546755567124	3.53205116281591	8.54094745539494	1.42956168828511e-05	72.9477834358173	1.42956168828511e-05
GSCOC_T00000290001	6.22858680516366	-0.317227256298468	-2.33430385231086	0.0448169184793777	5.44897447491334	0.0448169184793777
GSCOC_T00000291001	5.86008471559426	-0.251385188794099	-2.69356573772869	0.0249533037356272	7.2552963834659	0.0249533037356272
GSCOC_T00000292001	2.53720082013783	-0.35935806994116	-1.56947213802395	0.151461252654427	2.46324279203348	0.151461252654427
GSCOC_T00000299001	1.83736281225727	0.123362094687435	0.329935779710114	0.749103398442808	0.108857618732921	0.749103398442808
GSCOC_T00000301001	0.586734565461599	2.06396564237153	5.44576310292921	0.000428297638517602	29.6563357732252	0.000428297638517603
GSCOC_T00000304001	0.717899153935081	-1.08648172561139	-1.27227439918229	0.235599964926769	1.61868214681466	0.235599964926769
GSCOC_T00000306001	4.45577206808518	0.122016247352668	0.764626266659765	0.464340331467849	0.58465332766605	0.464340331467849
GSCOC_T00000307001	4.83696819853812	-0.853074030171986	-1.9350216776209	0.0854439450317884	3.7443088928628	0.0854439450317884
GSCOC_T00000308001	0.258055196848833	0.874759189586951	1.33873233581484	0.213939771348385	1.79220426695625	0.213939771348385
GSCOC_T00000315001	4.30180136458186	-1.15033154387375	-2.81420416024094	0.0205116338524353	7.91974505551744	0.0205116338524353
GSCOC_T00000316001	4.2929440429592	5.37400474704298	15.9568458430744	7.71749479987081e-08	254.620929259641	7.71749479987081e-08
GSCOC_T00000320001	4.93486786971727	0.275241487524741	2.28551239805721	0.0485214540197935	5.22356692167322	0.0485214540197935
